Longitude,Latitude,Loc_ID,Type
35.94260351,-2.948997094,Region-Arusha,Region
39.26161146,-6.88477386,Region-Dar es Salaam,Region
35.92150735,-5.927005556,Region-Dodoma,Region
31.89894422,-3.307668778,Region-Geita,Region
35.47522832,-7.801304421,Region-Iringa,Region
31.18134968,-2.029785088,Region-Kagera,Region
39.77263231,-5.043568785,Region-Kaskazini Pemba,Region
39.29145,-5.925294207,Region-Kaskazini Unguja,Region
31.34577757,-6.385272283,Region-Katavi,Region
30.56106527,-4.587284241,Region-Kigoma,Region
37.64009771,-3.760071283,Region-Kilimanjaro,Region
39.74340538,-5.314823095,Region-Kusini Pemba,Region
38.40138868,-9.481696203,Region-Lindi,Region
36.54813614,-4.533666806,Region-Manyara,Region
34.39625537,-1.852643533,Region-Mara,Region
33.38113201,-8.230100373,Region-Mbeya,Region
36.98833773,-7.920808428,Region-Morogoro,Region
39.11265276,-10.77612834,Region-Mtwara,Region
33.20157042,-2.898132277,Region-Mwanza,Region
34.71403945,-9.450255919,Region-Njombe,Region
38.62243349,-7.236377447,Region-Pwani,Region
31.40857141,-7.98516703,Region-Rukwa,Region
36.25115489,-10.72431721,Region-Ruvuma,Region
32.93608393,-3.751945444,Region-Shinyanga,Region
34.29316507,-3.041071606,Region-Simiyu,Region
34.49538559,-5.74544269,Region-Singida,Region
32.82158622,-5.263756788,Region-Tabora,Region
38.27650596,-5.217080204,Region-Tanga,Region
36.65125785,-3.286124619,District-Arusha-Arusha,District
36.67454736,-3.435542902,District-Arusha-Arusha Urban,District
35.43432909,-3.552117647,District-Arusha-Karatu,District
36.49550835,-2.720956583,District-Arusha-Longido,District
36.90108776,-3.334992477,District-Arusha-Meru,District
36.22623187,-3.404045317,District-Arusha-Monduli,District
35.49479245,-2.672184369,District-Arusha-Ngorongoro,District
39.14924345,-6.932807844,District-Dar es Salaam-Ilala,District
39.14179973,-6.728336733,District-Dar es Salaam-Kinondoni,District
39.40620533,-6.976036873,District-Dar es Salaam-Temeke,District
35.47219708,-6.134871612,District-Dodoma-Bahi,District
35.84573361,-6.311375769,District-Dodoma-Chamwino,District
35.66676637,-5.258049097,District-Dodoma-Chemba,District
35.79121507,-6.105878441,District-Dodoma-Dodoma Urban,District
35.899142,-4.741756182,District-Dodoma-Kondoa,District
36.54622022,-6.014816147,District-Dodoma-Kongwa,District
36.33319651,-6.760554308,District-Dodoma-Mpwapwa,District
31.60548688,-3.708197713,District-Geita-Bukombe,District
31.68162329,-2.842464083,District-Geita-Chato,District
32.18662575,-2.88804428,District-Geita-Geita,District
32.1610513,-3.46259928,District-Geita-Mbogwe,District
32.60483297,-3.149550263,District-Geita-Nyang'hwale,District
35.19531586,-7.502077187,District-Iringa-Iringa Rural,District
35.70865344,-7.733797156,District-Iringa-Iringa Urban,District
36.21410277,-7.799306351,District-Iringa-Kilolo,District
35.24442138,-8.363636239,District-Iringa-Mafinga Township Authority,District
35.27015111,-8.499933383,District-Iringa-Mufindi,District
31.25684345,-2.739452536,District-Kagera-Biharamulo,District
31.58565209,-1.432289667,District-Kagera-Bukoba,District
31.80479151,-1.317086733,District-Kagera-Bukoba Urban,District
31.09113777,-1.749380184,District-Kagera-Karagwe,District
30.78837293,-1.262787007,District-Kagera-Kyerwa,District
31.4092479,-1.142276412,District-Kagera-Missenyi,District
31.50067319,-1.915072544,District-Kagera-Muleba,District
30.71094987,-2.64171999,District-Kagera-Ngara,District
39.7769578,-4.974074416,District-Kaskazini Pemba-Micheweni,District
39.76891461,-5.103298147,District-Kaskazini Pemba-Wete,District
39.31450741,-5.864123574,District-Kaskazini Unguja-Kaskazini A,District
39.2707366,-5.980246533,District-Kaskazini Unguja-Kaskazini B,District
31.77540197,-6.637794237,District-Katavi-Mlele,District
30.60020875,-5.942645214,District-Katavi-Mpanda Rural,District
30.99014769,-6.410213343,District-Katavi-Mpanda Urban,District
29.95320198,-4.459536423,District-Kigoma-Buhigwe,District
30.89988634,-3.233518107,District-Kigoma-Kakonko,District
30.42339611,-4.504939594,District-Kigoma-Kasulu,District
30.09440309,-4.587009564,District-Kigoma-Kasulu Township Authority,District
30.97933803,-4.154571785,District-Kigoma-Kibondo,District
29.66588628,-4.891769651,District-Kigoma-Kigoma Municipal-Ujiji,District
29.74181111,-4.71950386,District-Kigoma-Kigoma Rural,District
30.24874817,-5.52204028,District-Kigoma-Uvinza,District
37.20056694,-3.289233492,District-Kilimanjaro-Hai,District
37.42101915,-3.376005067,District-Kilimanjaro-Moshi,District
37.3417124,-3.348018511,District-Kilimanjaro-Moshi Municipal,District
37.64131046,-3.731442575,District-Kilimanjaro-Mwanga,District
37.49040816,-3.093062216,District-Kilimanjaro-Rombo,District
37.89792796,-4.216706701,District-Kilimanjaro-Same,District
37.08353665,-3.071408354,District-Kilimanjaro-Siha,District
39.77171624,-5.252073119,District-Kusini Pemba-Chake Chake,District
39.71615523,-5.375222045,District-Kusini Pemba-Mkoani,District
39.4938317,-6.340580041,District-Kusini Unguja-Kusini,District
39.01486308,-9.108796752,District-Lindi-Kilwa,District
39.46679185,-10.0325652,District-Lindi-Lindi Rural,District
39.61609578,-9.945140979,District-Lindi-Lindi Urban,District
37.87364409,-9.334623415,District-Lindi-Liwale,District
38.36290282,-10.38056611,District-Lindi-Nachingwea,District
38.98617901,-10.04989937,District-Lindi-Ruangwa,District
35.84936814,-4.10789104,District-Manyara-Babati,District
35.74467467,-4.199875039,District-Manyara-Babati Urban,District
35.3000406,-4.527488512,District-Manyara-Hanang,District
36.76145929,-5.226360532,District-Manyara-Kiteto,District
35.29465321,-3.953211455,District-Manyara-Mbulu,District
37.09110564,-4.316243774,District-Manyara-Simanjiro,District
33.9007077,-2.036767429,District-Mara-Bunda,District
33.97114629,-1.6835246,District-Mara-Butiama,District
33.59058817,-1.854029593,District-Mara-Musoma,District
33.79580988,-1.522473859,District-Mara-Musoma Municipal,District
34.07455109,-1.305807576,District-Mara-Rorya,District
34.74404738,-1.997655959,District-Mara-Serengeti,District
