Loc_ID,Date_added_facility,name_facility,Facility type,Village_facility,Ward_facility,District_facility,Region_facility,Loc_ID_w,Loc_ID_d,Longitude,Latitude,Type
Village-Arusha-Arusha Urban-Engutoto-Block D,Mar-23,Njiro Health Center,Health Center,Block D,Engutoto,Arusha Urban,Arusha,Ward-Arusha-Arusha Urban-Engutoto,District-Arusha-Arusha Urban,36.70812765,-3.426410718,Village
Village-Arusha-Arusha Urban-Kaloleni-Kaloleni Mashariki,Mar-23,Kaloreni Health Center,Health Center,Kaloleni Mashariki,Kaloleni,Arusha Urban,Arusha,Ward-Arusha-Arusha Urban-Kaloleni,District-Arusha-Arusha Urban,36.68917424,-3.362387878,Village
Village-Arusha-Arusha Urban-Sekei-Naura,Mar-23,Mt Meru Regional Hospital,Regional Hospital,Naura,Sekei,Arusha Urban,Arusha,Ward-Arusha-Arusha Urban-Sekei,District-Arusha-Arusha Urban,36.69268185,-3.364287469,Village
Village-Arusha-Arusha-Nduruma-Nduruma,Mar-23,Nduruma Health Center,Health Center,Nduruma,Nduruma,Arusha,Arusha,Ward-Arusha-Arusha-Nduruma,District-Arusha-Arusha,36.77757434,-3.481954644,Village
Village-Arusha-Arusha-Oltrumet-Ekenywa,Mar-23,Otrumet Hospital,District Hospital,Ekenywa,Oltrumet,Arusha,Arusha,Ward-Arusha-Arusha-Oltrumet,District-Arusha-Arusha,36.61997068,-3.28984104,Village
Village-Arusha-Karatu-Ganako-Tloma,Aug-18,FAME Health Center,Health Center,Tloma,Ganako,Karatu,Arusha,Ward-Arusha-Karatu-Ganako,District-Arusha-Karatu,35.62632386,-3.322960861,Village
Village-Arusha-Karatu-Karatu-Karatu Mjini,Aug-18,Karatu Health Center,Health Center,Karatu Mjini,Karatu,Karatu,Arusha,Ward-Arusha-Karatu-Karatu,District-Arusha-Karatu,35.68065185,-3.338112049,Village
Village-Arusha-Karatu-Qurus-Bashay,Aug-18,Lutheran Hospital,Hospital,Bashay,Qurus,Karatu,Arusha,Ward-Arusha-Karatu-Qurus,District-Arusha-Karatu,35.62421763,-3.362440829,Village
Village-Arusha-Karatu-Rhotia-Rhotia Kainam,Mar-23,Rhotia Health Center,Health Center,Rhotia Kainam,Rhotia,Karatu,Arusha,Ward-Arusha-Karatu-Rhotia,District-Arusha-Karatu,35.73413829,-3.346426777,Village
Village-Arusha-Meru-Akheri-Akheri,Mar-23,Masasi Hospital,District Hospital,Akheri,Akheri,Meru,Arusha,Ward-Arusha-Meru-Akheri,District-Arusha-Meru,36.77534524,-3.350915005,Village
Village-Arusha-Meru-Usa River-Usa River,Mar-23,Usa River Health Center,Health Center,Usa River,Usa River,Meru,Arusha,Ward-Arusha-Meru-Usa River,District-Arusha-Meru,36.8578783,-3.371650348,Village
Village-Arusha-Monduli-Monduli Mjini-Sabasaba,Mar-23,Monduli Hospital,District Hospital,Sabasaba,Monduli Mjini,Monduli,Arusha,Ward-Arusha-Monduli-Monduli Mjini,District-Arusha-Monduli,36.44070435,-3.302060695,Village
Village-Arusha-Ngorongoro-Alailelai-Alailelai,Oct-21,Alailelai Dispensary,Dispensary,Alailelai,Alailelai,Ngorongoro,Arusha,Ward-Arusha-Ngorongoro-Alailelai,District-Arusha-Ngorongoro,35.68744052,-2.893243741,Village
